id,name,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,is_entire_apt,client_district,accommodates,bedrooms,beds,price_clean,minimum_nights,availability_365,number_of_reviews,review_scores_rating,host_is_superhost,estimated_occupancy_l365d,estimated_revenue_l365d
905847175525517554,Rustic flat in Barcelona center,el Raval,Ciutat Vella,41.3792360512854,2.165026641664109,Entire rental unit,Entire home/apt,True,True,2,1.0,,63.3,31.0,99,11,4.55,False,255,16142.0
906291565619921881,Bright Double room Barcelona,el Guinardó,Horta-Guinardó,41.42275061767028,2.1761166232057976,Private room in rental unit,Private room,False,False,2,,1.0,24.02,32.0,360,7,4.71,False,64,1537.0
906440016225374191,Excelente departamento muy cerca de la playa!,la Barceloneta,Ciutat Vella,41.3775965,2.1889373,Entire rental unit,Entire home/apt,True,True,2,1.0,,6.88,250.0,365,6,4.5,False,0,0.0
906650586197090164,!Luxury Ramblas Waterfront Stay!,el Barri Gòtic,Ciutat Vella,41.377453391556514,2.1783871269836297,Entire rental unit,Entire home/apt,True,True,6,4.0,5.0,366.0,1.0,216,142,4.9,True,255,93330.0
907158424259819386,Incredibly spacious modern flat in a former Palace,el Raval,Ciutat Vella,41.38110421055593,2.1670857080553043,Entire rental unit,Entire home/apt,True,True,7,4.0,4.0,210.68,16.0,333,1,5.0,False,32,6742.0
907355781673196572,New apartment with balcony in Gracia,Vallcarca i els Penitents,Gràcia,41.4126874245037,2.1407699582334216,Entire rental unit,Entire home/apt,True,True,4,3.0,3.0,96.13,32.0,347,2,4.5,False,64,6152.0
907728229086594277,"2BR Apartment GRAN VIA, with swimming pool!",la Bordeta,Sants-Montjuïc,41.3692,2.14096,Entire rental unit,Entire home/apt,True,False,4,2.0,2.0,110.65,31.0,262,11,5.0,True,186,20581.0
907778859842876933,Scala - 2 bedrooms in Sant Gervasi,Sarrià,Sarrià-Sant Gervasi,41.39864,2.12525,Entire rental unit,Entire home/apt,True,False,4,2.0,3.0,124.16,31.0,285,0,,False,0,0.0
907836178703996464,Casa Gavina · Penthouse with Terrace at St Gervasi,el Putxet i el Farró,Sarrià-Sant Gervasi,41.40831378658608,2.138572991629038,Entire rental unit,Entire home/apt,True,False,1,1.0,1.0,129.13,32.0,248,2,5.0,False,0,0.0
907854078150085856,Sagrada Familia Apartime,el Fort Pienc,Eixample,41.39974678052985,2.174591470901025,Entire rental unit,Entire home/apt,True,True,2,,,334.0,1.0,181,8,4.75,False,12,4008.0
907898214160688909,Tramonti - 2 bedrooms and terrace in Sant Antoni,Sant Antoni,Eixample,41.3771,2.15501,Entire rental unit,Entire home/apt,True,True,3,2.0,2.0,134.61,31.0,259,0,,False,0,0.0
907906726728044736,Vietri - 2 bedrooms and terrace in Sant Antoni,Sant Antoni,Eixample,41.37669991249222,2.1566300523974924,Entire rental unit,Entire home/apt,True,True,3,2.0,2.0,114.31,31.0,147,0,,False,0,0.0
907938129848073470,Quiet 2BR Near Marina Metro + Workspace,el Fort Pienc,Eixample,41.3978,2.18621,Entire rental unit,Entire home/apt,True,True,3,2.0,2.0,93.99,32.0,331,10,4.1,False,255,23967.0
907987710292199983,Modern apartment next to Sagrada Familia,la Sagrada Família,Eixample,41.4065862,2.171965,Entire condo,Entire home/apt,True,True,5,4.0,4.0,541.0,1.0,342,104,4.71,False,192,103872.0
908069559190284971,Habitación Sagrada Familia,la Sagrada Família,Eixample,41.40708,2.17267,Private room in rental unit,Private room,False,True,1,,1.0,35.88,31.0,364,0,,False,0,0.0
908407905833002407,"Piso con vistas a toda Barcelona, parking, piscina",Provençals del Poblenou,Sant Martí,41.4078108,2.2038888,Entire rental unit,Entire home/apt,True,False,4,2.0,3.0,295.0,3.0,316,39,4.77,False,84,24780.0
908473721469469422,Sagrada Familia Apartime,el Fort Pienc,Eixample,41.399708047769714,2.1751119371567573,Entire rental unit,Entire home/apt,True,True,2,,,334.0,1.0,181,22,4.82,False,24,8016.0
908476290277539605,Loft apartment in the Eixample Barcelona,la Nova Esquerra de l'Eixample,Eixample,41.38977033368624,2.143493338469218,Entire rental unit,Entire home/apt,True,True,2,1.0,1.0,55.41,32.0,99,8,4.13,False,192,10639.0
